epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9844,2.26285,3.17681,2.33832,0.00367,1,0.01082,0.0049,1.2756,3.27137,1.74832,0.00012,0.00012,0.00012
2,26.0226,1.80803,2.98778,2.11135,0.00367,1,0.1519,0.06776,1.21274,3.15228,1.73926,0.00025142,0.00025142,0.00025142
3,28.3138,1.50675,2.81538,1.91904,0.003,0.81818,0.16676,0.02433,3.03225,4.04198,2.75815,0.0003736,0.0003736,0.0003736
4,31.764,1.54019,2.76859,1.90381,0.00367,1,0.31379,0.17694,1.75161,3.55654,1.89275,0.00048654,0.00048654,0.00048654
5,33.8105,1.41261,2.52921,1.79813,0.01038,1,0.29137,0.10771,1.65443,3.37485,2.18935,0.00059024,0.00059024,0.00059024
6,36.1598,1.45782,2.3705,1.78841,0.65622,0.45455,0.61112,0.15199,1.97958,3.19344,3.85289,0.0006847,0.0006847,0.0006847
7,38.1594,1.50184,2.39702,1.83926,0.00333,0.90909,0.08302,0.0157,2.83014,3.87835,3.50009,0.00076992,0.00076992,0.00076992
8,39.9606,1.37668,2.11769,1.71361,0.00267,0.72727,0.02675,0.00883,3.1649,4.13543,4.00718,0.0008459,0.0008459,0.0008459
9,42.1878,1.31566,2.19817,1.67501,0.18842,0.10752,0.12767,0.0206,3.50333,4.16399,5.07851,0.00091264,0.00091264,0.00091264
10,45.2746,1.33978,2.05672,1.6806,0.25137,0.18182,0.07697,0.01761,3.28939,4.11372,3.81627,0.00097014,0.00097014,0.00097014
11,47.6234,1.34792,2.04654,1.67815,0.35772,0.18182,0.25046,0.0779,2.32373,3.53723,3.15031,0.0010184,0.0010184,0.0010184
12,49.6138,1.30594,1.9489,1.65045,0.12413,0.18182,0.11764,0.04244,2.87616,3.60497,3.94341,0.00105742,0.00105742,0.00105742
13,51.4281,1.31439,1.97659,1.65274,0.15235,0.31143,0.14601,0.04242,2.89148,3.72109,3.92891,0.0010872,0.0010872,0.0010872
14,53.3565,1.37128,2.0553,1.7193,0.27321,0.27273,0.11919,0.02286,3.51886,5.14379,4.70426,0.00110774,0.00110774,0.00110774
15,55.3843,1.2988,1.96684,1.6712,0.25261,0.45455,0.1479,0.03483,2.93241,3.94039,3.08531,0.001076,0.001076,0.001076
16,58.0605,1.24762,1.90752,1.60543,0.29252,0.45455,0.22295,0.06442,2.68416,4.32937,3.16329,0.00101,0.00101,0.00101
17,61.0833,1.34088,2.0317,1.63894,0.53119,0.27273,0.27986,0.09924,2.39811,3.52593,2.99142,0.000944,0.000944,0.000944
18,62.9844,1.23693,1.8639,1.62665,0.54444,0.63636,0.43353,0.18489,1.91058,2.57143,2.70017,0.000878,0.000878,0.000878
19,65.0068,1.30555,1.86686,1.60682,0.5974,0.54545,0.40998,0.17664,1.74518,2.47,2.44955,0.000812,0.000812,0.000812
20,67.0168,1.16662,1.74847,1.52544,0.31846,0.45455,0.28041,0.10004,2.36054,3.03498,2.74469,0.000746,0.000746,0.000746
21,70.9374,1.55226,2.51067,1.92516,0.7638,0.45455,0.57709,0.32234,1.48184,2.20018,2.13033,0.00068,0.00068,0.00068
22,75.0437,1.31013,2.21554,1.75396,0.98405,0.54545,0.64964,0.51069,1.04522,1.73149,1.92364,0.000614,0.000614,0.000614
23,76.9689,1.24116,2.31296,1.73619,0.9661,0.45455,0.67493,0.48072,0.98937,1.59809,1.7053,0.000548,0.000548,0.000548
24,78.9013,1.24864,2.13631,1.73405,0.7569,0.45455,0.53283,0.2693,1.61673,2.33761,2.13687,0.000482,0.000482,0.000482
25,80.708,1.19125,2.11877,1.68409,0.66815,0.45455,0.48337,0.20874,1.80971,2.25745,2.24142,0.000416,0.000416,0.000416
26,82.6841,1.22802,2.20435,1.66131,1,0.52622,0.60718,0.3249,1.61557,1.96017,2.10488,0.00035,0.00035,0.00035
27,84.6159,1.21737,2.02721,1.70054,0.97126,0.45455,0.57032,0.44279,1.24102,1.66825,1.76047,0.000284,0.000284,0.000284
28,87.5009,1.12586,1.88585,1.55795,0.97837,0.45455,0.66984,0.541,1.06821,1.49741,1.57213,0.000218,0.000218,0.000218
29,90.0314,1.07977,1.8358,1.60194,0.72386,0.54545,0.68918,0.55376,1.12453,1.46406,1.62334,0.000152,0.000152,0.000152
30,92.2052,1.10336,1.85816,1.5762,0.85375,0.53251,0.74315,0.57298,1.13941,1.44095,1.66791,8.6e-05,8.6e-05,8.6e-05
