epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0134,2.01948,3.05897,2.21284,0.00367,1,0.1825,0.03627,1.25509,3.37011,1.8847,0.00012,0.00012,0.00012
2,137.506,1.55182,2.74711,1.93084,0.00367,1,0.41832,0.09946,2.06247,4.00803,2.16358,0.00025142,0.00025142,0.00025142
3,206.081,1.3616,2.45372,1.77673,0.00367,1,0.2529,0.05585,1.9978,3.79739,2.44764,0.0003736,0.0003736,0.0003736
4,263.513,1.45326,2.42566,1.84523,0.00333,0.90909,0.44459,0.14557,2.24993,3.88848,2.63569,0.00048654,0.00048654,0.00048654
5,325.905,1.34811,2.30996,1.74623,0.003,0.81818,0.37378,0.15057,2.05871,3.89622,2.65535,0.00059024,0.00059024,0.00059024
6,389.261,1.30926,2.03238,1.65026,0.14677,0.09091,0.07379,0.01135,3.63784,4.7176,4.401,0.0006847,0.0006847,0.0006847
7,455.607,1.33369,2.03381,1.71126,0.06539,0.36364,0.06069,0.01485,2.73144,3.73664,3.63531,0.00076992,0.00076992,0.00076992
8,522.343,1.39092,2.16597,1.72488,0.0616,0.09091,0.05224,0.01085,2.73832,3.97816,3.63668,0.0008459,0.0008459,0.0008459
9,592.5,1.29234,2.04006,1.65062,0.04345,0.27273,0.03836,0.00875,2.99326,4.12537,4.79011,0.00091264,0.00091264,0.00091264
10,657.586,1.25984,1.89569,1.64331,0.1673,0.09091,0.03511,0.00924,3.11787,5.01081,6.60555,0.00097014,0.00097014,0.00097014
11,730.14,1.19622,1.77088,1.58743,0.22887,0.18182,0.11575,0.01687,2.8679,4.42234,4.91158,0.0010184,0.0010184,0.0010184
12,800.795,1.27068,1.85699,1.65452,0.03346,0.09091,0.01766,0.0051,3.14325,4.5226,3.54205,0.00105742,0.00105742,0.00105742
13,864.405,1.29616,1.84415,1.58447,0.03703,0.36364,0.03445,0.00846,2.76931,4.41091,3.27464,0.0010872,0.0010872,0.0010872
14,930.085,1.15279,1.69249,1.54099,0.18643,0.45455,0.31716,0.16887,2.58845,6.11451,3.17797,0.00110774,0.00110774,0.00110774
15,1022.64,1.17881,1.66308,1.55206,0.55675,0.45455,0.3877,0.24003,1.79807,3.20156,2.30447,0.001076,0.001076,0.001076
16,1095.24,1.21827,1.65232,1.53927,0.39878,0.54545,0.47956,0.22713,1.57328,5.01457,2.27129,0.00101,0.00101,0.00101
17,1159.47,1.18031,1.65811,1.55936,0.42855,0.54545,0.62009,0.36925,1.32008,4.57675,2.32605,0.000944,0.000944,0.000944
18,1233.01,1.15238,1.65192,1.53823,0.69595,0.54545,0.63677,0.43526,1.38311,2.36116,2.26149,0.000878,0.000878,0.000878
19,1298.49,1.08625,1.52753,1.46404,0.67456,0.75525,0.70188,0.3504,1.666,2.01911,2.62345,0.000812,0.000812,0.000812
20,1366.86,1.17548,1.5333,1.50522,0.74779,0.53983,0.57905,0.29373,1.90309,2.77046,2.68732,0.000746,0.000746,0.000746
21,1428.41,1.46002,2.39738,1.87813,0.85532,0.53849,0.64602,0.36903,1.49013,2.55116,2.36033,0.00068,0.00068,0.00068
22,1486.19,1.26554,2.02985,1.70051,0.84107,0.63636,0.69403,0.54471,1.36147,2.20883,2.24586,0.000614,0.000614,0.000614
23,1542.33,1.27615,1.95958,1.69354,0.85487,0.63636,0.68648,0.53497,1.42594,2.37336,2.36528,0.000548,0.000548,0.000548
24,1612.98,1.10475,1.80474,1.56641,0.87471,0.63636,0.84196,0.62456,1.25125,1.86808,1.86264,0.000482,0.000482,0.000482
25,1679.16,1.07155,1.65733,1.55483,0.72406,0.71657,0.79615,0.55114,1.19801,2.03954,1.72116,0.000416,0.000416,0.000416
26,1743.32,0.99819,1.62876,1.4853,0.94718,0.54545,0.73359,0.49851,1.44201,2.06717,1.91321,0.00035,0.00035,0.00035
27,1816.11,1.02242,1.63644,1.49169,0.81006,0.54545,0.67999,0.46805,1.52651,1.91097,1.92867,0.000284,0.000284,0.000284
28,1894.22,0.98036,1.49037,1.43427,0.62775,0.61483,0.64581,0.45806,1.56789,1.90707,1.96627,0.000218,0.000218,0.000218
29,1965.25,0.99415,1.54647,1.41441,0.98904,0.45455,0.6477,0.44345,1.52919,1.90482,1.95086,0.000152,0.000152,0.000152
30,2034.97,1.00331,1.48055,1.44729,0.98312,0.54545,0.70028,0.45572,1.55504,1.83921,1.95155,8.6e-05,8.6e-05,8.6e-05
